Player,Games Played,Avg FPTS,Projected Avg FPTS,Consistency Value,Injury Risk Value,Consistency and Injury Risk,Overall Score
quenton jackson,3.0,4.33,4.74,0.275,0.3733,0.34,2.19
jett howard,18.0,2.94,3.55,0.0,0.74,0.49,2.08
ty jerome,2.0,4.5,4.57,0.475,0.2378,0.32,2.06
chris livingston,21.0,2.62,3.24,0.118,0.7511,0.54,2.0
colin castleton,16.0,2.88,3.3,0.0,0.7311,0.49,1.9
james johnson,9.0,4.22,4.05,0.2,0.2067,0.2,1.8
jacob toppin,9.0,3.33,3.26,0.158,0.7022,0.52,1.8
mamadi diakite,6.0,4.33,4.37,0.0,0.14,0.09,1.72
cole swider,18.0,2.94,3.22,0.0,0.4489,0.3,1.68
wendell moore jr,25.0,2.32,2.54,0.108,0.5467,0.4,1.5
jalen hood-schfino,21.0,1.62,2.24,0.0,0.7511,0.5,1.35
kendall brown,15.0,2.0,2.19,0.0,0.4311,0.29,1.11
ej liddel,8.0,2.38,2.28,0.2,0.3778,0.32,1.1
seth lundy,9.0,1.33,1.3,0.095,0.7022,0.5,0.71
daquan jeffries,17.0,1.29,1.3,0.0,0.1733,0.12,0.6
maxwell lewis,34.0,0.18,0.72,0.0,0.8044,0.54,0.49
steven adams,42.0,0.0,0.0,,0.4978,,
kai jones,46.0,0.0,0.0,,0.64,,
damion lee,74.0,0.0,0.0,,0.5644,,
vlatko cancar,60.0,0.0,0.0,,0.2378,,
ron harper,1.0,2.0,2.19,,0.3622,,
josh christopher,64.0,0.0,0.0,,0.94,,
lonzo ball,35.0,0.0,0.0,,0.0422,,
christian koloko,58.0,0.0,0.0,,0.4911,,
