Player,Games Played,Avg FPTS,Projected Avg FPTS,Consistency Value,Injury Risk Value,Consistency and Injury Risk,Overall Score
luke kennard,39.0,22.13,21.89,0.51,0.7244,0.65,16.28
julian champagnie,74.0,15.84,17.34,0.332,0.8911,0.7,16.21
taylor hendricks,40.0,18.55,21.24,0.42,0.8289,0.69,16.19
kris murray,62.0,14.52,18.18,0.32,0.9178,0.72,16.03
kevin love,55.0,19.76,19.21,0.402,0.8133,0.68,16.02
nicolas batum,60.0,18.85,18.33,0.41,0.8644,0.71,15.92
josh green,57.0,18.51,18.69,0.412,0.8111,0.68,15.77
day’ron sharpe,61.0,18.1,18.91,0.422,0.66,0.58,15.7
isaiah jackson,59.0,18.15,18.96,0.36,0.7067,0.59,15.62
jordan hawkins,67.0,12.3,16.9,0.242,1.0,0.75,15.49
malaki branham,75.0,14.76,16.16,0.332,0.96,0.75,15.46
jonathan isaac,58.0,19.59,19.92,0.462,0.4644,0.46,15.44
aaron wiggins,78.0,15.15,15.83,0.338,0.9622,0.75,15.37
larry nance jr,61.0,18.9,18.0,0.425,0.74,0.64,15.3
miles mcbride,68.0,16.41,17.14,0.278,0.8533,0.66,15.29
gradey dick,60.0,13.93,17.52,0.31,0.9111,0.71,15.22
mitchell robinson,31.0,22.26,21.87,0.468,0.6867,0.61,15.11
naji marshall,66.0,16.5,16.66,0.398,0.8889,0.73,15.08
luke kornet,63.0,17.46,17.27,0.345,0.8222,0.66,14.97
jose alvarado,56.0,17.41,18.19,0.448,0.6978,0.61,14.83
goga bitadze,62.0,17.71,18.0,0.322,0.6533,0.54,14.8
dario saric,64.0,17.62,17.43,0.372,0.6778,0.58,14.73
kevon looney,74.0,15.74,14.99,0.42,1.0,0.81,14.56
dalano banton,54.0,18.22,19.03,0.255,0.5867,0.48,14.5
moses moody,66.0,15.74,16.44,0.392,0.7778,0.65,14.44
nikola jovic,46.0,17.83,19.52,0.355,0.6222,0.53,14.42
craig porter jr,51.0,13.43,17.78,0.242,0.8733,0.66,14.35
ben simmons,15.0,27.73,27.24,0.525,0.2644,0.35,14.29
cameron payne,78.0,15.58,14.84,0.332,0.8778,0.7,14.17
cody martin,28.0,21.54,21.9,0.47,0.5444,0.52,14.15
jake laravia,35.0,18.97,20.77,0.312,0.6178,0.52,14.14
ochai agbaji,78.0,13.32,14.58,0.315,0.9578,0.74,14.12
josh richardson,43.0,20.0,19.05,0.458,0.6311,0.57,14.04
pat connaughton,76.0,15.13,14.41,0.452,0.9067,0.76,13.9
drew eubanks,75.0,14.53,14.28,0.39,1.0,0.8,13.89
haywood highsmith,66.0,16.05,16.21,0.292,0.7044,0.57,13.8
keon ellis,57.0,15.67,17.16,0.26,0.6867,0.54,13.67
brandon clarke,6.0,26.33,26.77,0.625,0.3267,0.43,13.56
xavier tillman,54.0,16.96,17.13,0.335,0.6822,0.57,13.56
anthony black,69.0,10.7,14.32,0.252,1.0,0.75,13.27
alec burks,66.0,15.64,15.03,0.298,0.8444,0.66,13.26
trey lyles,58.0,15.79,15.04,0.385,0.9289,0.75,13.11
jaylin williams,69.0,12.88,14.1,0.402,0.92,0.75,13.07
