Player,Injury Risk Value,Scaled Injury Risk Value
anthony davis,0.57,0.8733
julian strawther,0.59,0.8689
caleb martin,0.6,0.8667
jalen suggs,0.6,0.8667
miles bridges,0.6,0.8667
nicolas batum,0.61,0.8644
jarred vanderbilt,0.62,0.8622
shaedon sharpe,0.62,0.8622
gg jackson,0.62,0.8622
pj tucker,0.62,0.8622
al horford,0.63,0.86
nick richards,0.63,0.86
lebron james,0.63,0.86
kevin durant,0.64,0.8578
cam whitmore,0.64,0.8578
damian lillard,0.65,0.8556
paul george,0.65,0.8556
trey murphy,0.65,0.8556
rui hachimura,0.66,0.8533
miles mcbride,0.66,0.8533
zach lavine,0.68,0.8489
cam thomas,0.68,0.8489
zach collins,0.69,0.8467
terry rozier,0.7,0.8444
santi aldama,0.7,0.8444
kobe brown,0.7,0.8444
alec burks,0.7,0.8444
devonte graham,0.71,0.8422
josh okogie,0.71,0.8422
jalen wilson,0.71,0.8422
kenrich williams,0.72,0.84
collin sexton,0.72,0.84
jalen smith,0.73,0.8378
tari eason,0.73,0.8378
onyeka okongwu,0.74,0.8356
jt thor,0.74,0.8356
malachi flynn,0.74,0.8356
simone fontecchio,0.76,0.8311
taylor hendricks,0.77,0.8289
julian phillips,0.77,0.8289
dyson daniels,0.79,0.8244
luke kornet,0.8,0.8222
draymond green,0.82,0.8178
jalen mcdaniels,0.82,0.8178
de’andre hunter,0.82,0.8178
jock landale,0.82,0.8178
jordan clarkson,0.83,0.8156
oshae brissett,0.83,0.8156
joe ingles,0.84,0.8133
kevin love,0.84,0.8133
bojan bogdanovic,0.85,0.8111
deandre ayton,0.85,0.8111
josh green,0.85,0.8111
maxwell lewis,0.88,0.8044
gabe vincent,0.88,0.8044
keita bates-diop,0.89,0.8022
jarace walker,0.9,0.8
brice sensabaugh,0.91,0.7978
shake milton,0.91,0.7978
ricky council iv,0.91,0.7978
jalen johnson,0.92,0.7956
quentin grimes,0.93,0.7933
caleb houstan,0.94,0.7911
kawhi leonard,0.94,0.7911
mo bamba,0.95,0.7889
jae’sean tate,0.95,0.7889
og anunoby,0.99,0.78
moses moody,1.0,0.7778
jalen pickett,1.01,0.7756
karl-anthony towns,1.05,0.7667
blake wesley,1.06,0.7644
onuralp bitim,1.08,0.76
garrison mathews,1.08,0.76
noah clowney,1.08,0.76
gui santos,1.08,0.76
patrick williams,1.09,0.7578
dalen terry,1.1,0.7556
tyler herro,1.1,0.7556
jalen hood-schfino,1.12,0.7511
chris livingston,1.12,0.7511
trendon watford,1.14,0.7467
delon wright,1.14,0.7467
zion williamson,1.15,0.7444
tre mann,1.15,0.7444
desmond bane,1.16,0.7422
jimmy butler,1.16,0.7422
joel embiid,1.17,0.74
larry nance jr,1.17,0.74
jett howard,1.17,0.74
isaiah stewart,1.18,0.7378
kobe bufkin,1.19,0.7356
leonard miller,1.19,0.7356
marjon beauchamp,1.2,0.7333
aj green,1.21,0.7311
colin castleton,1.21,0.7311
emoni bates,1.23,0.7267
luke kennard,1.24,0.7244
